TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Brazil,Erzkoy,00:01:20.5880000,Red Bull,False,
Brazil,piotrek_player,00:01:22.0310000,McLaren,False,
Brazil,Fernando Alonso,00:01:22.1510000,Aston Martin,False,
Brazil,Gabriel Bortoleto,00:01:22.2670000,Kick Sauber,False,
Brazil,George Russell,00:01:22.3600000,Mercedes-AMG Petronas,False,
Brazil,Nico Hulkenberg,00:01:22.3630000,Kick Sauber,False,
Brazil,Lewis Hamilton,00:01:22.3950000,Ferrari,False,
Brazil,Alex Albon,00:01:22.4180000,Williams,False,
Brazil,,00:01:22.4620000,World Car,False,
Brazil,Lando Norris,00:01:22.5320000,McLaren,False,
Brazil,Liam Lawson,00:01:22.6240000,Red Bull,False,
Brazil,Andrea Kimi Antonelli,00:01:22.7910000,Mercedes-AMG Petronas,False,
Brazil,Carlos Sainz,00:01:22.8580000,Williams,False,
Brazil,Yuki Tsunoda,00:01:22.9130000,Visa Cash App RB,False,
Brazil,e1pege,00:01:23.2600000,RB,False,
Brazil,Oliver Bearman,00:01:23.3280000,Haas,False,
Brazil,marselantuan,00:01:23.9000000,Aston Martin,False,
Brazil,SzPi1946,00:01:26.3370000,Alpine,False,
Brazil,FenomenalnyKorcz,00:01:27.3890000,Ferrari,False,
Brazil,Z1Z_PL,00:01:30.3040000,Haas,False,
Brazil,BjornBartomeu,00:00:00,Williams,False,
Brazil,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
