TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Japan,Erzkoy,00:01:28.1550000,Red Bull,False,
Japan,piotrek_player,00:01:29.9760000,McLaren,False,
Japan,e1pege,00:01:30.5240000,Ferrari,False,
Japan,marselantuan,00:01:31.0740000,Red Bull,False,
Japan,,00:01:31.8880000,World Car,False,
Japan,Gabriel Bortoleto,00:01:32.1190000,Kick Sauber,False,
Japan,Lando Norris,00:01:32.2910000,McLaren,False,
Japan,Pierre Gasly,00:01:32.5460000,Alpine,False,
Japan,Liam Lawson,00:01:32.6660000,Red Bull,False,
Japan,Yuki Tsunoda,00:01:32.7130000,Visa Cash App RB,False,
Japan,Alex Albon,00:01:32.7600000,Williams,False,
Japan,Lewis Hamilton,00:01:32.8140000,Ferrari,False,
Japan,BjornBartomeu,00:01:32.9610000,Haas,False,
Japan,Fernando Alonso,00:01:32.9730000,Aston Martin,False,
Japan,Nico Hulkenberg,00:01:33.2550000,Kick Sauber,False,
Japan,Carlos Sainz,00:01:33.4870000,Williams,False,
Japan,Andrea Kimi Antonelli,00:01:33.5400000,Mercedes-AMG Petronas,False,
Japan,Oliver Bearman,00:01:33.7290000,Haas,False,
Japan,Isack Hadjar,00:01:34.0650000,Visa Cash App RB,False,
Japan,F1 Player,00:00:00,Ferrari,False,
Japan,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Japan,SzPi1946,00:00:00,Aston Martin,False,
