TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi
Texas,1,Erzkoy,00:33:16.3630000,25,1,0,00:01:37.1080000,True,Red Bull,0,False,False
Texas,1,e1pege,00:33:52.1370000,18,2,0,00:01:38.4170000,False,Ferrari,0,False,False
Texas,1,Lewis Hamilton,00:34:12.5760000,15,3,0,00:01:40.1630000,False,Ferrari,0,False,True
Texas,1,Andrea Kimi Antonelli,00:34:19.8360000,12,4,0,00:01:40.6720000,False,Mercedes-AMG Petronas,0,False,True
Texas,1,,00:34:24.2680000,10,5,0,00:01:41.1800000,False,World Car,0,False,True
Texas,1,Gabriel Bortoleto,00:34:31.9510000,8,6,0,00:01:40.7810000,False,Kick Sauber,0,False,True
Texas,1,Alex Albon,00:34:33.2980000,6,7,0,00:01:41.3020000,False,Williams,0,False,True
Texas,1,Fernando Alonso,00:34:43.5290000,4,8,0,00:01:41.1130000,False,Aston Martin,0,False,True
Texas,1,Carlos Sainz,00:34:53.9130000,2,9,0,00:01:41.4220000,False,Williams,0,False,True
Texas,1,Lando Norris,00:34:54.5830000,1,10,0,00:01:42.0370000,False,McLaren,0,False,True
Texas,1,Liam Lawson,00:33:17.5610000,0,11,0,00:01:40.9820000,False,Red Bull,0,False,True
Texas,1,Isack Hadjar,00:33:18.2520000,0,12,0,00:01:42.2410000,False,Visa Cash App RB,0,False,True
Texas,1,Yuki Tsunoda,00:33:19.5150000,0,13,0,00:01:42.4530000,False,Visa Cash App RB,0,False,True
Texas,1,Oliver Bearman,00:33:25.1290000,0,14,0,00:01:41.4600000,False,Haas,0,False,True
Texas,1,marselantuan,00:34:03.2430000,0,15,0,00:01:39.4480000,False,Red Bull,0,False,False
Texas,1,Nico Hulkenberg,00:34:55.7250000,0,16,0,00:01:42.1500000,False,Kick Sauber,0,False,True
Texas,1,Pierre Gasly,00:34:56.4690000,0,17,0,00:01:42.1260000,False,Alpine,0,False,True
Texas,1,piotrek_player,00:17:16.0120000,0,18,0,00:01:40.4870000,False,McLaren,0,False,False
Texas,1,Lance Stroll,00:23:52.1480000,0,19,0,00:01:42.9750000,False,Aston Martin,0,False,True
Texas,1,BjornBartomeu,00:31:41.4970000,0,20,0,00:01:40.7220000,False,Haas,0,False,False
Texas,1,F1 Player,00:00:00,0,21,0,00:00:00,False,Ferrari,0,False,False
Texas,1,F1 Player,00:00:00,0,22,0,00:00:00,False,Mercedes-AMG Petronas,0,False,False
Texas,1,SzPi1946,00:00:00,0,23,0,00:00:00,False,Aston Martin,0,False,False
