TrackName,PlayerName,QualifyingTime,ConstructorName,IsReserve,
Azerbaijan,Gabriel Bortoleto,00:01:43.9770000,Kick Sauber,False,
Azerbaijan,Andrea Kimi Antonelli,00:01:44.1910000,Mercedes-AMG Petronas,False,
Azerbaijan,Carlos Sainz,00:01:44.4200000,Williams,False,
Azerbaijan,Nico Hulkenberg,00:01:44.4990000,Kick Sauber,False,
Azerbaijan,Lewis Hamilton,00:01:44.5820000,Ferrari,False,
Azerbaijan,Lando Norris,00:01:44.7480000,McLaren,False,
Azerbaijan,Lando Norris,00:01:44.7490000,McLaren,False,
Azerbaijan,,00:01:44.7630000,World Car,False,
Azerbaijan,Carlos Sainz,00:01:44.7670000,Williams,False,
Azerbaijan,,00:01:44.7820000,World Car,False,
Azerbaijan,Alex Albon,00:01:44.9290000,Williams,False,
Azerbaijan,Pierre Gasly,00:01:44.9300000,Alpine,False,
Azerbaijan,Fernando Alonso,00:01:45.0410000,Aston Martin,False,
Azerbaijan,Andrea Kimi Antonelli,00:01:45.1060000,Mercedes-AMG Petronas,False,
Azerbaijan,Fernando Alonso,00:01:45.1310000,Aston Martin,False,
Azerbaijan,Liam Lawson,00:01:45.1910000,Red Bull,False,
Azerbaijan,Lewis Hamilton,00:01:45.2600000,Ferrari,False,
Azerbaijan,Gabriel Bortoleto,00:01:45.2810000,Kick Sauber,False,
Azerbaijan,Alex Albon,00:01:45.3100000,Williams,False,
Azerbaijan,Yuki Tsunoda,00:01:45.3700000,Visa Cash App RB,False,
Azerbaijan,Liam Lawson,00:01:45.4170000,Red Bull,False,
Azerbaijan,Isack Hadjar,00:01:45.4510000,Visa Cash App RB,False,
Azerbaijan,Lance Stroll,00:01:45.5200000,Aston Martin,False,
Azerbaijan,Pierre Gasly,00:01:45.5520000,Alpine,False,
Azerbaijan,Yuki Tsunoda,00:01:45.7130000,Visa Cash App RB,False,
Azerbaijan,Nico Hulkenberg,00:01:45.7420000,Kick Sauber,False,
Azerbaijan,Lance Stroll,00:01:45.7750000,Aston Martin,False,
Azerbaijan,Oliver Bearman,00:01:46.2430000,Haas,False,
Azerbaijan,Oliver Bearman,00:01:46.2900000,Haas,False,
Azerbaijan,Isack Hadjar,00:01:46.4190000,Visa Cash App RB,False,
Azerbaijan,e1pege,00:00:00,Ferrari,False,
Azerbaijan,Erzkoy,00:00:00,Red Bull,False,
Azerbaijan,piotrek_player,00:00:00,McLaren,False,
Azerbaijan,marselantuan,00:00:00,Red Bull,False,
Azerbaijan,BjornBartomeu,00:00:00,Haas,False,
Azerbaijan,F1 Player,00:00:00,Ferrari,False,
Azerbaijan,F1 Player,00:00:00,Mercedes-AMG Petronas,False,
Azerbaijan,SzPi1946,00:00:00,Aston Martin,False,
