TrackName,Tier,PlayerName,Time,Points,Position,Penalty,FastestLap,HasFastestLap,ConstructorName,PenaltyPointsApplied,IsReserve,IsAi,
Azerbaijan,1,Andrea Kimi Antonelli,00:35:04.6460000,25,1,0,00:01:47.1810000,False,Mercedes-AMG Petronas,0,False,True,
Azerbaijan,1,Lewis Hamilton,00:35:05.1720000,18,2,0,00:01:47.7790000,False,Ferrari,0,False,True,
Azerbaijan,1,Nico Hulkenberg,00:35:06.5600000,15,3,0,00:01:47.7830000,False,Kick Sauber,0,False,True,
Azerbaijan,1,Erzkoy,00:35:13.2150000,12,4,0,00:01:44.6910000,True,Red Bull,0,False,False,
Azerbaijan,1,Carlos Sainz,00:35:13.4550000,10,5,0,00:01:48.2900000,False,Williams,0,False,True,
Azerbaijan,1,Yuki Tsunoda,00:35:14.3030000,8,6,0,00:01:48.9080000,False,Visa Cash App RB,0,False,True,
Azerbaijan,1,Gabriel Bortoleto,00:35:14.8120000,6,7,0,00:01:47.5930000,False,Kick Sauber,0,False,True,
Azerbaijan,1,Fernando Alonso,00:35:15.4840000,4,8,0,00:01:48.4450000,False,Aston Martin,0,False,True,
Azerbaijan,1,Oliver Bearman,00:35:16.2580000,2,9,0,00:01:49.4210000,False,Haas,0,False,True,
Azerbaijan,1,Isack Hadjar,00:35:16.4730000,1,10,0,00:01:48.3350000,False,Visa Cash App RB,0,False,True,
Azerbaijan,1,Alex Albon,00:35:17.0280000,0,11,0,00:01:47.7170000,False,Williams,0,False,True,
Azerbaijan,1,Lando Norris,00:35:17.6060000,0,12,0,00:01:48.4120000,False,McLaren,0,False,True,
Azerbaijan,1,Pierre Gasly,00:35:18.2700000,0,13,0,00:01:50.3210000,False,Alpine,0,False,True,
Azerbaijan,1,Lance Stroll,00:35:27.5770000,0,14,0,00:01:49.2220000,False,Aston Martin,0,False,True,
Azerbaijan,1,BjornBartomeu,00:36:24.4710000,0,15,0,00:01:48.5120000,False,Haas,0,False,False,
Azerbaijan,1,e1pege,00:14:31.4890000,0,16,0,00:01:48.3940000,False,Ferrari,0,False,False,
Azerbaijan,1,,00:24:44.8470000,0,17,0,00:01:48.8290000,False,World Car,0,False,True,
Azerbaijan,1,Liam Lawson,00:27:46.3590000,0,18,0,00:01:50.1410000,False,Red Bull,0,False,True,
Azerbaijan,1,marselantuan,00:28:21.5950000,0,19,0,00:01:48.0840000,False,Red Bull,0,False,False,
Azerbaijan,1,piotrek_player,00:33:30.7260000,0,20,0,00:01:45.4590000,False,McLaren,0,False,False,
Azerbaijan,1,F1 Player,00:00:00,0,21,0,00:00:00,False,Ferrari,0,False,False,
Azerbaijan,1,F1 Player,00:00:00,0,22,0,00:00:00,False,Mercedes-AMG Petronas,0,False,False,
Azerbaijan,1,SzPi1946,00:00:00,0,23,0,00:00:00,False,Aston Martin,0,False,False,
